Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9985,0.9975429975429976,0.9950980392156863,0.996319018404908,0.9989223076165139
Random Forest,0.9985,0.9975429975429976,0.9950980392156863,0.996319018404908,0.9987483372746083
Gradient Boosting,0.998,0.9950980392156863,0.9950980392156863,0.9950980392156863,0.9965960316287319
Decision Tree,0.996,0.995049504950495,0.9852941176470589,0.9901477832512315,0.9920189181200119
